date,new_deaths,adjusted
2020-03-10,0,0
2020-03-11,0,0
2020-03-12,0,0
2020-03-13,0,0
2020-03-14,0,0
2020-03-15,0,0
2020-03-16,0,0
2020-03-17,0,0
2020-03-18,0,0
2020-03-19,0,0
2020-03-20,1,1
2020-03-21,2,2
2020-03-22,0,0
2020-03-23,3,3
2020-03-24,2,2
2020-03-25,3,3
2020-03-26,4,4
2020-03-27,7,7
2020-03-28,3,3
2020-03-29,5,5
2020-03-30,10,10
2020-03-31,15,15
2020-04-01,10,10
2020-04-02,16,16
2020-04-03,10,10
2020-04-04,11,11
2020-04-05,17,17
2020-04-06,23,23
2020-04-07,25,25
2020-04-08,26,26
2020-04-09,20,20
2020-04-10,18,18
2020-04-11,16,16
2020-04-12,6,6
2020-04-13,21,21
2020-04-14,50,50
2020-04-15,37,37
2020-04-16,28,28
2020-04-17,29,29
2020-04-18,33,33
2020-04-19,20,20
2020-04-20,38,38
2020-04-21,48,48
2020-04-22,53,53
2020-04-23,46,46
2020-04-24,34,34
2020-04-25,21,21
2020-04-26,17,17
2020-04-27,25,25
2020-04-28,46,46
2020-04-29,138,138
2020-04-30,38,38
2020-05-01,27,27
2020-05-02,19,19
2020-05-03,17,17
2020-05-04,18,18
2020-05-05,79,79
2020-05-06,90,90
2020-05-07,46,46
2020-05-08,35,35
2020-05-09,25,25
2020-05-10,10,10
2020-05-11,16,16
2020-05-12,79,79
2020-05-13,47,47
2020-05-14,51,51
2020-05-15,47,47
2020-05-16,29,29
2020-05-17,15,15
2020-05-18,32,32
2020-05-19,63,63
2020-05-20,61,61
2020-05-21,55,55
2020-05-22,36,36
2020-05-23,84,84
2020-05-24,13,13
2020-05-25,18,18
2020-05-26,15,15
2020-05-27,42,42
2020-05-28,54,54
2020-05-29,33,33
2020-05-30,18,18
2020-05-31,6,6
2020-06-01,51,51
2020-06-02,52,52
2020-06-03,41,41
2020-06-04,40,40
2020-06-05,16,16
2020-06-06,15,15
2020-06-07,7,7
2020-06-08,27,27
2020-06-09,17,17
2020-06-10,36,36
2020-06-11,33,33
2020-06-12,18,18
2020-06-13,46,46
2020-06-14,3,3
2020-06-15,16,16
2020-06-16,24,24
2020-06-17,14,14
2020-06-18,22,22
2020-06-19,34,34
2020-06-20,30,30
2020-06-21,3,3
2020-06-22,4,4
2020-06-23,31,31
2020-06-24,20,20
2020-06-25,17,17
2020-06-26,16,16
2020-06-27,16,16
2020-06-28,3,3
2020-06-29,11,11
2020-06-30,45,45
2020-07-01,13,13
2020-07-02,27,27
2020-07-03,0,0
2020-07-04,4,4
2020-07-05,4,4
2020-07-06,16,16
2020-07-07,43,43
2020-07-08,21,21
2020-07-09,15,15
2020-07-10,26,26
2020-07-11,4,4
2020-07-12,22,22
2020-07-13,6,6
2020-07-14,5,5
2020-07-15,6,6
2020-07-16,28,28
2020-07-17,9,9
2020-07-18,20,20
2020-07-19,42,42
2020-07-20,15,15
2020-07-21,30,30
2020-07-22,16,16
2020-07-23,21,21
2020-07-24,41,41
2020-07-25,0,0
2020-07-26,10,10
2020-07-27,37,37
2020-07-28,38,38
2020-07-29,40,40
2020-07-30,20,20
2020-07-31,47,47
2020-08-01,26,26
2020-08-02,14,14
2020-08-03,10,10
2020-08-04,31,31
2020-08-05,26,26
2020-08-06,22,22
2020-08-07,34,34
2020-08-08,16,16
2020-08-09,1,1
2020-08-10,4,4
2020-08-11,35,35
2020-08-12,26,26
2020-08-13,21,21
2020-08-14,29,29
2020-08-15,40,40
2020-08-16,2,2
2020-08-17,6,6
2020-08-18,39,39
2020-08-19,36,36
2020-08-20,22,22
2020-08-21,26,26
2020-08-22,20,20
2020-08-23,3,3
2020-08-24,8,8
2020-08-25,10,10
2020-08-26,48,48
2020-08-27,32,32
2020-08-28,29,29
2020-08-29,21,21
2020-08-30,2,2
2020-08-31,10,10
2020-09-01,27,27
2020-09-02,11,11
2020-09-03,50,50
2020-09-04,22,22
2020-09-05,8,8
2020-09-06,3,3
2020-09-07,17,17
2020-09-08,22,22
2020-09-09,26,26
2020-09-10,30,30
2020-09-11,49,49
2020-09-12,8,8
2020-09-13,4,4
2020-09-14,4,4
2020-09-15,87,87
2020-09-16,49,49
2020-09-17,25,25
2020-09-18,28,28
2020-09-19,4,4
2020-09-20,3,3
2020-09-21,8,8
2020-09-22,12,12
2020-09-23,52,52
2020-09-24,28,28
2020-09-25,19,19
2020-09-26,6,6
2020-09-27,1,1
2020-09-28,5,5
2020-09-29,37,37
2020-09-30,21,21
2020-10-01,13,58
2020-10-02,88,133
2020-10-03,20,65
2020-10-04,0,45
2020-10-05,6,51
2020-10-06,16,61
2020-10-07,23,68
2020-10-08,13,58
2020-10-09,11,56
2020-10-10,3,48
2020-10-11,2,47
2020-10-12,6,51
2020-10-13,12,57
2020-10-14,16,61
2020-10-15,5,50
2020-10-16,16,61
2020-10-17,13,58
2020-10-18,0,45
2020-10-19,8,53
2020-10-20,8,53
2020-10-21,66,111
2020-10-22,12,57
2020-10-23,23,68
2020-10-24,22,67
2020-10-25,0,45
2020-10-26,11,56
2020-10-27,22,67
2020-10-28,17,62
2020-10-29,19,64
2020-10-30,16,61
2020-10-31,10,55
2020-11-01,2,47
2020-11-02,37,82
2020-11-03,33,78
2020-11-04,55,100
2020-11-05,33,78
2020-11-06,33,78
2020-11-07,12,57
2020-11-08,11,56
2020-11-09,7,52
2020-11-10,23,68
2020-11-11,76,121
2020-11-12,35,80
2020-11-13,42,87
2020-11-14,14,59
2020-11-15,8,53
2020-11-16,20,65
2020-11-17,30,75
2020-11-18,55,100
2020-11-19,63,108
2020-11-20,65,110
2020-11-21,29,74
2020-11-22,12,57
2020-11-23,24,69
2020-11-24,98,143
2020-11-25,156,201
2020-11-26,0,45
2020-11-27,72,117
2020-11-28,32,77
2020-11-29,21,66
2020-11-30,30,75
2020-12-01,119,164
2020-12-02,123,168
2020-12-03,82,127
2020-12-04,129,174
2020-12-05,65,110
2020-12-06,13,58
2020-12-07,63,108
2020-12-08,80,125
2020-12-09,84,129
2020-12-10,111,156
2020-12-11,128,173
2020-12-12,51,96
2020-12-13,15,60
2020-12-14,59,104
2020-12-15,103,148
2020-12-16,123,168
2020-12-17,117,162
2020-12-18,73,118
2020-12-19,64,109
2020-12-20,16,61
2020-12-21,75,120
2020-12-22,130,175
2020-12-23,109,154
2020-12-24,95,140
2020-12-25,0,45
2020-12-26,20,65
2020-12-27,33,78
2020-12-28,62,107
2020-12-29,151,196
2020-12-30,133,178
2020-12-31,107,152
2021-01-01,0,45
2021-01-02,55,100
2021-01-03,59,104
2021-01-04,67,112
2021-01-05,104,149
2021-01-06,121,166
2021-01-07,94,139
2021-01-08,82,127
2021-01-09,55,100
2021-01-10,28,73
2021-01-11,75,120
2021-01-12,100,145
2021-01-13,79,124
2021-01-14,109,154
2021-01-15,67,112
2021-01-16,78,123
2021-01-17,65,110
2021-01-18,81,126
2021-01-19,55,100
2021-01-20,73,118
2021-01-21,109,154
2021-01-22,81,126
2021-01-23,81,126
2021-01-24,31,76
2021-01-25,57,102
2021-01-26,88,133
2021-01-27,75,120
2021-01-28,75,120
2021-01-29,67,112
2021-01-30,51,96
2021-01-31,54,99
2021-02-01,55,100
2021-02-02,106,151
2021-02-03,92,137
2021-02-04,79,124
2021-02-05,61,106
2021-02-06,81,126
2021-02-07,7,52
2021-02-08,36,81
2021-02-09,98,143
2021-02-10,63,108
